"Species","n","model","aic","intercept","road","forest","roadforest"
"GWWA",1057,3,2776.46163417293,4.67243273659282,NA,-0.73888814436198,NA
"GWWA",1057,4,2761.37172712921,4.72922690573066,-0.155096745614909,-0.678025825297559,NA
"GWWA",1057,5,2741.22924854004,4.77662243348185,-0.324692548752788,-0.868655749154296,0.489948620995137
"HAFL",8073,1,26169.6323195754,4.02551368357213,NA,NA,NA
"HAFL",8073,2,26137.7873892731,4.03911058856352,-0.0936842688276581,NA,NA
"HAFL",8073,3,26134.8547919415,4.07720538400806,NA,-0.0820774290756545,NA
"HAFL",8073,4,26103.7553202204,4.09028337314715,-0.0922150592796877,-0.0817082378628365,NA
"HAFL",8073,5,26101.6983867125,4.09613986758863,-0.15327392008731,-0.0904192757523334,0.0947046267005588
"HAWO",17085,1,49801.438233492,4.24847668346953,NA,NA,NA
"HAWO",17085,2,49764.8256654788,4.25996529105645,-0.0781041564962904,NA,NA
"HAWO",17085,3,48950.8153206396,4.41763196558086,NA,-0.305558224505821,NA
