"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"CWWI",426,6,749.956205866705,-0.567257467561381,-1.52726469177818,NA,2.34033516497291,NA
"CWWI",426,7,750.549823889354,-0.615063910020826,-1.83518676080553,NA,1.99843435536359,41.7770021609359
"CWWI",426,8,749.120116336171,-0.603680949634231,-3.9285609034075,11.3701386848534,1.80489768073228,NA
"CWWI",426,9,750.350877526491,-0.672465028517307,-3.23342179529734,9.98475184613363,0.230231602566182,37.1749425418871
"DEJU",27363,1,72928.5175828681,-1.45031395996603,NA,NA,NA,NA
"DEJU",27363,2,72824.8348504527,-1.430764595904,NA,NA,3.18075110967301,NA
"DEJU",27363,3,72825.2444342801,-1.44025615675115,NA,NA,3.29279467912785,6.8440571038128
"DEJU",27363,4,72900.8945786216,-1.44756692676279,-1.17661209503384,NA,NA,NA
"DEJU",27363,5,72889.4887689907,-1.4768754588046,-1.57773453693848,9.71365934346994,NA,NA
"DEJU",27363,6,72790.7267851914,-1.42708269078262,-1.28446404322764,NA,3.26872404619133,NA
"DEJU",27363,7,72791.1879670501,-1.43618597526853,-1.28726432407891,NA,3.37860295232852,6.60151821288024
"DEJU",27363,8,72780.5415060304,-1.45524650214348,-1.67070563895665,9.20955966435474,3.26555073746951,NA
"DEJU",27363,9,72780.6219339262,-1.4655214670445,-1.66645032568541,9.39178882507371,3.38829854792538,7.29156505601618
"DICK",3119,1,15057.5692397467,-0.698468942788247,NA,NA,NA,NA
"DICK",3119,2,15058.8360570718,-0.696312738595317,NA,NA,0.249764715352852,NA
"DICK",3119,3,14996.4810492038,-0.614057751716386,NA,NA,1.09051510641418,-28.8589535570665
"DICK",3119,4,14850.012320544,-0.529565669208507,-3.90931718506445,NA,NA,NA
"DICK",3119,5,14840.241392161,-0.553385946104929,-5.15085720548771,13.6727639684174,NA,NA
"DICK",3119,6,14823.8081558172,-0.498919353300964,-4.33309522447823,NA,1.56461609438051,NA
"DICK",3119,7,14739.2703040687,-0.4001027437075,-4.4615386834716,NA,2.43780795898477,-33.8226621270392
"DICK",3119,8,14814.2250470407,-0.524628582538925,-5.57607731470677,14.0066319913811,1.54430999481808,NA
"DICK",3119,9,14731.0202155764,-0.464567491936995,-6.28751448549462,21.9668600465156,2.38636595678892,-26.3627101480421
"DOWO",15109,1,37222.8338190112,-2.10715544694775,NA,NA,NA,NA
"DOWO",15109,2,37220.8408805619,-2.10664461716216,NA,NA,0.904761774229365,NA
"DOWO",15109,3,37213.6989823207,-2.06928030685222,NA,NA,1.72083529645294,-13.9690685590932
